category,severity,message,path,start_line,start_column,end_line,end_column
descriptions,info,operation method `DELETE` at path `/ContactGroups/{ContactGroupID}/Contacts` is missing a `description`,$.paths['/ContactGroups/{ContactGroupID}/Contacts'].delete,4986,5,4986,11
tags,warn,tag `Accounting` for `DELETE` operation is not defined as a global tag,$.paths['/ContactGroups/{ContactGroupID}/Contacts'].delete.tags[0],4991,11,4991,21
operations,info,operation must define at least one 4xx error response,$.paths['/ContactGroups/{ContactGroupID}/Contacts'].delete.responses,4996,7,4996,16
descriptions,info,operation method `DELETE` at path `/ContactGroups/{ContactGroupID}/Contacts/{ContactID}` is missing a `description`,$.paths['/ContactGroups/{ContactGroupID}/Contacts/{ContactID}'].delete,5003,5,5003,11
tags,warn,tag `Accounting` for `DELETE` operation is not defined as a global tag,$.paths['/ContactGroups/{ContactGroupID}/Contacts/{ContactID}'].delete.tags[0],5008,11,5008,21
descriptions,info,operation method `GET` at path `/CreditNotes` is missing a `description`,$.paths['/CreditNotes'].get,5023,5,5023,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/CreditNotes'].get.tags[0],5029,11,5029,21
operations,info,operation must define at least one 4xx error response,$.paths['/CreditNotes'].get.responses,5058,7,5058,16
descriptions,info,operation method `PUT` at path `/CreditNotes` is missing a `description`,$.paths['/CreditNotes'].put,5139,5,5139,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/CreditNotes'].put.tags[0],5144,11,5144,21
descriptions,info,operation method `POST` at path `/CreditNotes` is missing a `description`,$.paths['/CreditNotes'].post,5393,5,5393,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/CreditNotes'].post.tags[0],5398,11,5398,21
descriptions,info,operation method `GET` at path `/CreditNotes/{CreditNoteID}` is missing a `description`,$.paths['/CreditNotes/{CreditNoteID}'].get,5653,5,5653,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/CreditNotes/{CreditNoteID}'].get.tags[0],5659,11,5659,21
operations,info,operation must define at least one 4xx error response,$.paths['/CreditNotes/{CreditNoteID}'].get.responses,5665,7,5665,16
descriptions,info,operation method `POST` at path `/CreditNotes/{CreditNoteID}` is missing a `description`,$.paths['/CreditNotes/{CreditNoteID}'].post,5762,5,5762,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/CreditNotes/{CreditNoteID}'].post.tags[0],5767,11,5767,21
descriptions,info,operation method `GET` at path `/CreditNotes/{CreditNoteID}/Attachments` is missing a `description`,$.paths['/CreditNotes/{CreditNoteID}/Attachments'].get,6036,5,6036,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/CreditNotes/{CreditNoteID}/Attachments'].get.tags[0],6042,11,6042,21
operations,info,operation must define at least one 4xx error response,$.paths['/CreditNotes/{CreditNoteID}/Attachments'].get.responses,6047,7,6047,16
descriptions,info,operation method `GET` at path `/CreditNotes/{CreditNoteID}/Attachments/{AttachmentID}` is missing a `description`,$.paths['/CreditNotes/{CreditNoteID}/Attachments/{AttachmentID}'].get,6069,5,6069,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/CreditNotes/{CreditNoteID}/Attachments/{AttachmentID}'].get.tags[0],6075,11,6075,21
operations,info,operation must define at least one 4xx error response,$.paths['/CreditNotes/{CreditNoteID}/Attachments/{AttachmentID}'].get.responses,6082,7,6082,16
operations,warn,paths are ambiguous with one another: `/CreditNotes/{CreditNoteID}/Attachments/{AttachmentID}` and `/CreditNotes/{CreditNoteID}/Attachments/{FileName}`,$.paths['/CreditNotes/{CreditNoteID}/Attachments/{FileName}'],6090,3,6090,53
operations,error,"paths `/CreditNotes/{CreditNoteID}/Attachments/{AttachmentID}` and `/CreditNotes/{CreditNoteID}/Attachments/{FileName}` must not be equivalent, paths must be unique",$.paths['/CreditNotes/{CreditNoteID}/Attachments/{FileName}'],6090,3,6090,53
descriptions,info,operation method `GET` at path `/CreditNotes/{CreditNoteID}/Attachments/{FileName}` is missing a `description`,$.paths['/CreditNotes/{CreditNoteID}/Attachments/{FileName}'].get,6093,5,6093,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/CreditNotes/{CreditNoteID}/Attachments/{FileName}'].get.tags[0],6099,11,6099,21
operations,info,operation must define at least one 4xx error response,$.paths['/CreditNotes/{CreditNoteID}/Attachments/{FileName}'].get.responses,6106,7,6106,16
descriptions,info,operation method `POST` at path `/CreditNotes/{CreditNoteID}/Attachments/{FileName}` is missing a `description`,$.paths['/CreditNotes/{CreditNoteID}/Attachments/{FileName}'].post,6114,5,6114,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/CreditNotes/{CreditNoteID}/Attachments/{FileName}'].post.tags[0],6119,11,6119,21
descriptions,info,operation method `PUT` at path `/CreditNotes/{CreditNoteID}/Attachments/{FileName}` is missing a `description`,$.paths['/CreditNotes/{CreditNoteID}/Attachments/{FileName}'].put,6156,5,6156,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/CreditNotes/{CreditNoteID}/Attachments/{FileName}'].put.tags[0],6161,11,6161,21
descriptions,info,operation method `GET` at path `/CreditNotes/{CreditNoteID}/pdf` is missing a `description`,$.paths['/CreditNotes/{CreditNoteID}/pdf'].get,6202,5,6202,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/CreditNotes/{CreditNoteID}/pdf'].get.tags[0],6208,11,6208,21
operations,info,operation must define at least one 4xx error response,$.paths['/CreditNotes/{CreditNoteID}/pdf'].get.responses,6214,7,6214,16
descriptions,info,operation method `PUT` at path `/CreditNotes/{CreditNoteID}/Allocations` is missing a `description`,$.paths['/CreditNotes/{CreditNoteID}/Allocations'].put,6225,5,6225,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/CreditNotes/{CreditNoteID}/Allocations'].put.tags[0],6230,11,6230,21
descriptions,info,operation method `DELETE` at path `/CreditNotes/{CreditNoteID}/Allocations/{AllocationID}` is missing a `description`,$.paths['/CreditNotes/{CreditNoteID}/Allocations/{AllocationID}'].delete,6353,5,6353,11
tags,warn,tag `Accounting` for `DELETE` operation is not defined as a global tag,$.paths['/CreditNotes/{CreditNoteID}/Allocations/{AllocationID}'].delete.tags[0],6358,11,6358,21
operations,info,operation must define at least one 4xx error response,$.paths['/CreditNotes/{CreditNoteID}/Allocations/{AllocationID}'].delete.responses,6364,7,6364,16
descriptions,info,operation method `GET` at path `/CreditNotes/{CreditNoteID}/History` is missing a `description`,$.paths['/CreditNotes/{CreditNoteID}/History'].get,6380,5,6380,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/CreditNotes/{CreditNoteID}/History'].get.tags[0],6386,11,6386,21
operations,info,operation must define at least one 4xx error response,$.paths['/CreditNotes/{CreditNoteID}/History'].get.responses,6391,7,6391,16
descriptions,info,operation method `PUT` at path `/CreditNotes/{CreditNoteID}/History` is missing a `description`,$.paths['/CreditNotes/{CreditNoteID}/History'].put,6394,5,6394,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/CreditNotes/{CreditNoteID}/History'].put.tags[0],6399,11,6399,21
descriptions,info,operation method `GET` at path `/Currencies` is missing a `description`,$.paths['/Currencies'].get,6443,5,6443,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Currencies'].get.tags[0],6449,11,6449,21
operations,info,operation must define at least one 4xx error response,$.paths['/Currencies'].get.responses,6468,7,6468,16
descriptions,info,operation method `PUT` at path `/Currencies` is missing a `description`,$.paths['/Currencies'].put,6483,5,6483,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/Currencies'].put.tags[0],6488,11,6488,21
operations,info,operation must define at least one 4xx error response,$.paths['/Currencies'].put.responses,6517,7,6517,16
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Employees'].get.tags[0],6548,11,6548,21
operations,info,operation must define at least one 4xx error response,$.paths['/Employees'].get.responses,6570,7,6570,16
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/Employees'].put.tags[0],6613,11,6613,21
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/Employees'].post.tags[0],6693,11,6693,21
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Employees/{EmployeeID}'].get.tags[0],6777,11,6777,21
operations,info,operation must define at least one 4xx error response,$.paths['/Employees/{EmployeeID}'].get.responses,6783,7,6783,16
descriptions,info,operation method `GET` at path `/ExpenseClaims` is missing a `description`,$.paths['/ExpenseClaims'].get,6807,5,6807,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/ExpenseClaims'].get.tags[0],6813,11,6813,21
operations,info,operation must define at least one 4xx error response,$.paths['/ExpenseClaims'].get.responses,6834,7,6834,16
descriptions,info,operation method `PUT` at path `/ExpenseClaims` is missing a `description`,$.paths['/ExpenseClaims'].put,6864,5,6864,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/ExpenseClaims'].put.tags[0],6869,11,6869,21
descriptions,info,operation method `GET` at path `/ExpenseClaims/{ExpenseClaimID}` is missing a `description`,$.paths['/ExpenseClaims/{ExpenseClaimID}'].get,7065,5,7065,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/ExpenseClaims/{ExpenseClaimID}'].get.tags[0],7071,11,7071,21
operations,info,operation must define at least one 4xx error response,$.paths['/ExpenseClaims/{ExpenseClaimID}'].get.responses,7076,7,7076,16
descriptions,info,operation method `POST` at path `/ExpenseClaims/{ExpenseClaimID}` is missing a `description`,$.paths['/ExpenseClaims/{ExpenseClaimID}'].post,7143,5,7143,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/ExpenseClaims/{ExpenseClaimID}'].post.tags[0],7148,11,7148,21
descriptions,info,operation method `POST` `requestBody` at path `/ExpenseClaims/{ExpenseClaimID}` is missing a `description`,$.paths['/ExpenseClaims/{ExpenseClaimID}'].post.requestBody,7328,7,7328,18
descriptions,info,operation method `GET` at path `/ExpenseClaims/{ExpenseClaimID}/History` is missing a `description`,$.paths['/ExpenseClaims/{ExpenseClaimID}/History'].get,7345,5,7345,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/ExpenseClaims/{ExpenseClaimID}/History'].get.tags[0],7351,11,7351,21
operations,info,operation must define at least one 4xx error response,$.paths['/ExpenseClaims/{ExpenseClaimID}/History'].get.responses,7356,7,7356,16
descriptions,info,operation method `PUT` at path `/ExpenseClaims/{ExpenseClaimID}/History` is missing a `description`,$.paths['/ExpenseClaims/{ExpenseClaimID}/History'].put,7359,5,7359,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/ExpenseClaims/{ExpenseClaimID}/History'].put.tags[0],7364,11,7364,21
operations,info,operation must define at least one 4xx error response,$.paths['/ExpenseClaims/{ExpenseClaimID}/History'].put.responses,7398,7,7398,16
descriptions,info,operation method `GET` at path `/Invoices` is missing a `description`,$.paths['/Invoices'].get,7406,5,7406,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Invoices'].get.tags[0],7412,11,7412,21
examples,error,"got string, want array",$.paths['/Invoices'].get.parameters[3].schema.example,7439,11,7439,18
examples,error,"got string, want array",$.paths['/Invoices'].get.parameters[4].schema.example,7454,11,7454,18
examples,error,"got string, want array",$.paths['/Invoices'].get.parameters[5].schema.example,7468,11,7468,18
examples,error,"got string, want array",$.paths['/Invoices'].get.parameters[6].schema.example,7482,11,7482,18
operations,info,operation must define at least one 4xx error response,$.paths['/Invoices'].get.responses,7516,7,7516,16
descriptions,info,operation method `PUT` at path `/Invoices` is missing a `description`,$.paths['/Invoices'].put,7649,5,7649,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/Invoices'].put.tags[0],7654,11,7654,21
descriptions,info,operation method `POST` at path `/Invoices` is missing a `description`,$.paths['/Invoices'].post,8002,5,8002,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/Invoices'].post.tags[0],8007,11,8007,21
descriptions,info,operation method `POST` `requestBody` at path `/Invoices` is missing a `description`,$.paths['/Invoices'].post.requestBody,8291,7,8291,18
descriptions,info,operation method `GET` at path `/Invoices/{InvoiceID}` is missing a `description`,$.paths['/Invoices/{InvoiceID}'].get,8316,5,8316,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Invoices/{InvoiceID}'].get.tags[0],8322,11,8322,21
operations,info,operation must define at least one 4xx error response,$.paths['/Invoices/{InvoiceID}'].get.responses,8328,7,8328,16
descriptions,info,operation method `POST` at path `/Invoices/{InvoiceID}` is missing a `description`,$.paths['/Invoices/{InvoiceID}'].post,8450,5,8450,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/Invoices/{InvoiceID}'].post.tags[0],8455,11,8455,21
descriptions,info,operation method `POST` `requestBody` at path `/Invoices/{InvoiceID}` is missing a `description`,$.paths['/Invoices/{InvoiceID}'].post.requestBody,8578,7,8578,18
descriptions,info,operation method `GET` at path `/Invoices/{InvoiceID}/pdf` is missing a `description`,$.paths['/Invoices/{InvoiceID}/pdf'].get,8594,5,8594,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Invoices/{InvoiceID}/pdf'].get.tags[0],8600,11,8600,21
operations,info,operation must define at least one 4xx error response,$.paths['/Invoices/{InvoiceID}/pdf'].get.responses,8606,7,8606,16
descriptions,info,operation method `GET` at path `/Invoices/{InvoiceID}/Attachments` is missing a `description`,$.paths['/Invoices/{InvoiceID}/Attachments'].get,8617,5,8617,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Invoices/{InvoiceID}/Attachments'].get.tags[0],8623,11,8623,21
operations,info,operation must define at least one 4xx error response,$.paths['/Invoices/{InvoiceID}/Attachments'].get.responses,8628,7,8628,16
descriptions,info,operation method `GET` at path `/Invoices/{InvoiceID}/Attachments/{AttachmentID}` is missing a `description`,$.paths['/Invoices/{InvoiceID}/Attachments/{AttachmentID}'].get,8655,5,8655,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Invoices/{InvoiceID}/Attachments/{AttachmentID}'].get.tags[0],8661,11,8661,21
operations,info,operation must define at least one 4xx error response,$.paths['/Invoices/{InvoiceID}/Attachments/{AttachmentID}'].get.responses,8668,7,8668,16
operations,warn,paths are ambiguous with one another: `/Invoices/{InvoiceID}/Attachments/{AttachmentID}` and `/Invoices/{InvoiceID}/Attachments/{FileName}`,$.paths['/Invoices/{InvoiceID}/Attachments/{FileName}'],8676,3,8676,47
operations,error,"paths `/Invoices/{InvoiceID}/Attachments/{AttachmentID}` and `/Invoices/{InvoiceID}/Attachments/{FileName}` must not be equivalent, paths must be unique",$.paths['/Invoices/{InvoiceID}/Attachments/{FileName}'],8676,3,8676,47
descriptions,info,operation method `GET` at path `/Invoices/{InvoiceID}/Attachments/{FileName}` is missing a `description`,$.paths['/Invoices/{InvoiceID}/Attachments/{FileName}'].get,8679,5,8679,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Invoices/{InvoiceID}/Attachments/{FileName}'].get.tags[0],8685,11,8685,21
operations,info,operation must define at least one 4xx error response,$.paths['/Invoices/{InvoiceID}/Attachments/{FileName}'].get.responses,8692,7,8692,16
descriptions,info,operation method `POST` at path `/Invoices/{InvoiceID}/Attachments/{FileName}` is missing a `description`,$.paths['/Invoices/{InvoiceID}/Attachments/{FileName}'].post,8700,5,8700,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/Invoices/{InvoiceID}/Attachments/{FileName}'].post.tags[0],8705,11,8705,21
descriptions,info,operation method `PUT` at path `/Invoices/{InvoiceID}/Attachments/{FileName}` is missing a `description`,$.paths['/Invoices/{InvoiceID}/Attachments/{FileName}'].put,8742,5,8742,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/Invoices/{InvoiceID}/Attachments/{FileName}'].put.tags[0],8747,11,8747,21
descriptions,info,operation method `GET` at path `/Invoices/{InvoiceID}/OnlineInvoice` is missing a `description`,$.paths['/Invoices/{InvoiceID}/OnlineInvoice'].get,8788,5,8788,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Invoices/{InvoiceID}/OnlineInvoice'].get.tags[0],8794,11,8794,21
operations,info,operation must define at least one 4xx error response,$.paths['/Invoices/{InvoiceID}/OnlineInvoice'].get.responses,8799,7,8799,16
descriptions,info,operation method `POST` at path `/Invoices/{InvoiceID}/Email` is missing a `description`,$.paths['/Invoices/{InvoiceID}/Email'].post,8816,5,8816,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/Invoices/{InvoiceID}/Email'].post.tags[0],8821,11,8821,21
descriptions,info,operation method `POST` `requestBody` at path `/Invoices/{InvoiceID}/Email` is missing a `description`,$.paths['/Invoices/{InvoiceID}/Email'].post.requestBody,8840,7,8840,18
descriptions,info,operation method `GET` at path `/Invoices/{InvoiceID}/History` is missing a `description`,$.paths['/Invoices/{InvoiceID}/History'].get,8850,5,8850,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Invoices/{InvoiceID}/History'].get.tags[0],8856,11,8856,21
operations,info,operation must define at least one 4xx error response,$.paths['/Invoices/{InvoiceID}/History'].get.responses,8861,7,8861,16
descriptions,info,operation method `PUT` at path `/Invoices/{InvoiceID}/History` is missing a `description`,$.paths['/Invoices/{InvoiceID}/History'].put,8864,5,8864,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/Invoices/{InvoiceID}/History'].put.tags[0],8869,11,8869,21
descriptions,info,operation method `GET` at path `/InvoiceReminders/Settings` is missing a `description`,$.paths['/InvoiceReminders/Settings'].get,8913,5,8913,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/InvoiceReminders/Settings'].get.tags[0],8919,11,8919,21
operations,info,operation must define at least one 4xx error response,$.paths['/InvoiceReminders/Settings'].get.responses,8922,7,8922,16
descriptions,info,operation method `GET` at path `/Items` is missing a `description`,$.paths['/Items'].get,8939,5,8939,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Items'].get.tags[0],8945,11,8945,21
operations,info,operation must define at least one 4xx error response,$.paths['/Items'].get.responses,8963,7,8963,16
descriptions,info,operation method `PUT` at path `/Items` is missing a `description`,$.paths['/Items'].put,8999,5,8999,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/Items'].put.tags[0],9004,11,9004,21
descriptions,info,operation method `POST` at path `/Items` is missing a `description`,$.paths['/Items'].post,9116,5,9116,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/Items'].post.tags[0],9121,11,9121,21
descriptions,info,operation method `POST` `requestBody` at path `/Items` is missing a `description`,$.paths['/Items'].post.requestBody,9189,7,9189,18
descriptions,info,operation method `GET` at path `/Items/{ItemID}` is missing a `description`,$.paths['/Items/{ItemID}'].get,9203,5,9203,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Items/{ItemID}'].get.tags[0],9209,11,9209,21
operations,info,operation must define at least one 4xx error response,$.paths['/Items/{ItemID}'].get.responses,9215,7,9215,16
descriptions,info,operation method `POST` at path `/Items/{ItemID}` is missing a `description`,$.paths['/Items/{ItemID}'].post,9249,5,9249,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/Items/{ItemID}'].post.tags[0],9254,11,9254,21
descriptions,info,operation method `POST` `requestBody` at path `/Items/{ItemID}` is missing a `description`,$.paths['/Items/{ItemID}'].post.requestBody,9316,7,9316,18
descriptions,info,operation method `DELETE` at path `/Items/{ItemID}` is missing a `description`,$.paths['/Items/{ItemID}'].delete,9326,5,9326,11
tags,warn,tag `Accounting` for `DELETE` operation is not defined as a global tag,$.paths['/Items/{ItemID}'].delete.tags[0],9331,11,9331,21
descriptions,info,operation method `GET` at path `/Items/{ItemID}/History` is missing a `description`,$.paths['/Items/{ItemID}/History'].get,9345,5,9345,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Items/{ItemID}/History'].get.tags[0],9351,11,9351,21
operations,info,operation must define at least one 4xx error response,$.paths['/Items/{ItemID}/History'].get.responses,9356,7,9356,16
descriptions,info,operation method `PUT` at path `/Items/{ItemID}/History` is missing a `description`,$.paths['/Items/{ItemID}/History'].put,9359,5,9359,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/Items/{ItemID}/History'].put.tags[0],9364,11,9364,21
operations,info,operation must define at least one 4xx error response,$.paths['/Items/{ItemID}/History'].put.responses,9398,7,9398,16
descriptions,info,operation method `GET` at path `/Journals` is missing a `description`,$.paths['/Journals'].get,9406,5,9406,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Journals'].get.tags[0],9411,11,9411,21
operations,info,operation must define at least one 4xx error response,$.paths['/Journals'].get.responses,9430,7,9430,16
descriptions,info,operation method `GET` at path `/Journals/{JournalID}` is missing a `description`,$.paths['/Journals/{JournalID}'].get,9573,5,9573,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Journals/{JournalID}'].get.tags[0],9578,11,9578,21
operations,info,operation must define at least one 4xx error response,$.paths['/Journals/{JournalID}'].get.responses,9583,7,9583,16
operations,warn,paths are ambiguous with one another: `/Journals/{JournalID}` and `/Journals/{JournalNumber}`,$.paths['/Journals/{JournalNumber}'],9626,3,9626,28
operations,error,"paths `/Journals/{JournalID}` and `/Journals/{JournalNumber}` must not be equivalent, paths must be unique",$.paths['/Journals/{JournalNumber}'],9626,3,9626,28
descriptions,info,operation method `GET` at path `/Journals/{JournalNumber}` is missing a `description`,$.paths['/Journals/{JournalNumber}'].get,9629,5,9629,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Journals/{JournalNumber}'].get.tags[0],9634,11,9634,21
operations,info,operation must define at least one 4xx error response,$.paths['/Journals/{JournalNumber}'].get.responses,9639,7,9639,16
descriptions,info,operation method `GET` at path `/LinkedTransactions` is missing a `description`,$.paths['/LinkedTransactions'].get,9685,5,9685,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/LinkedTransactions'].get.tags[0],9691,11,9691,21
operations,info,operation must define at least one 4xx error response,$.paths['/LinkedTransactions'].get.responses,9740,7,9740,16
descriptions,info,operation method `PUT` at path `/LinkedTransactions` is missing a `description`,$.paths['/LinkedTransactions'].put,9763,5,9763,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/LinkedTransactions'].put.tags[0],9768,11,9768,21
descriptions,info,operation method `GET` at path `/LinkedTransactions/{LinkedTransactionID}` is missing a `description`,$.paths['/LinkedTransactions/{LinkedTransactionID}'].get,9833,5,9833,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/LinkedTransactions/{LinkedTransactionID}'].get.tags[0],9839,11,9839,21
operations,info,operation must define at least one 4xx error response,$.paths['/LinkedTransactions/{LinkedTransactionID}'].get.responses,9844,7,9844,16
descriptions,info,operation method `POST` at path `/LinkedTransactions/{LinkedTransactionID}` is missing a `description`,$.paths['/LinkedTransactions/{LinkedTransactionID}'].post,9867,5,9867,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/LinkedTransactions/{LinkedTransactionID}'].post.tags[0],9872,11,9872,21
descriptions,info,operation method `POST` `requestBody` at path `/LinkedTransactions/{LinkedTransactionID}` is missing a `description`,$.paths['/LinkedTransactions/{LinkedTransactionID}'].post.requestBody,9958,7,9958,18
descriptions,info,operation method `DELETE` at path `/LinkedTransactions/{LinkedTransactionID}` is missing a `description`,$.paths['/LinkedTransactions/{LinkedTransactionID}'].delete,9968,5,9968,11
tags,warn,tag `Accounting` for `DELETE` operation is not defined as a global tag,$.paths['/LinkedTransactions/{LinkedTransactionID}'].delete.tags[0],9973,11,9973,21
descriptions,info,operation method `GET` at path `/ManualJournals` is missing a `description`,$.paths['/ManualJournals'].get,9987,5,9987,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/ManualJournals'].get.tags[0],9993,11,9993,21
operations,info,operation must define at least one 4xx error response,$.paths['/ManualJournals'].get.responses,10021,7,10021,16
descriptions,info,operation method `PUT` at path `/ManualJournals` is missing a `description`,$.paths['/ManualJournals'].put,10066,5,10066,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/ManualJournals'].put.tags[0],10071,11,10071,21
descriptions,info,operation method `POST` at path `/ManualJournals` is missing a `description`,$.paths['/ManualJournals'].post,10271,5,10271,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/ManualJournals'].post.tags[0],10276,11,10276,21
descriptions,info,operation method `GET` at path `/ManualJournals/{ManualJournalID}` is missing a `description`,$.paths['/ManualJournals/{ManualJournalID}'].get,10479,5,10479,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/ManualJournals/{ManualJournalID}'].get.tags[0],10485,11,10485,21
operations,info,operation must define at least one 4xx error response,$.paths['/ManualJournals/{ManualJournalID}'].get.responses,10490,7,10490,16
descriptions,info,operation method `POST` at path `/ManualJournals/{ManualJournalID}` is missing a `description`,$.paths['/ManualJournals/{ManualJournalID}'].post,10539,5,10539,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/ManualJournals/{ManualJournalID}'].post.tags[0],10544,11,10544,21
descriptions,info,operation method `POST` `requestBody` at path `/ManualJournals/{ManualJournalID}` is missing a `description`,$.paths['/ManualJournals/{ManualJournalID}'].post.requestBody,10719,7,10719,18
descriptions,info,operation method `GET` at path `/ManualJournals/{ManualJournalID}/Attachments` is missing a `description`,$.paths['/ManualJournals/{ManualJournalID}/Attachments'].get,10733,5,10733,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/ManualJournals/{ManualJournalID}/Attachments'].get.tags[0],10739,11,10739,21
operations,info,operation must define at least one 4xx error response,$.paths['/ManualJournals/{ManualJournalID}/Attachments'].get.responses,10744,7,10744,16
descriptions,info,operation method `GET` at path `/ManualJournals/{ManualJournalID}/Attachments/{AttachmentID}` is missing a `description`,$.paths['/ManualJournals/{ManualJournalID}/Attachments/{AttachmentID}'].get,10771,5,10771,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/ManualJournals/{ManualJournalID}/Attachments/{AttachmentID}'].get.tags[0],10777,11,10777,21
operations,info,operation must define at least one 4xx error response,$.paths['/ManualJournals/{ManualJournalID}/Attachments/{AttachmentID}'].get.responses,10784,7,10784,16
operations,warn,paths are ambiguous with one another: `/ManualJournals/{ManualJournalID}/Attachments/{AttachmentID}` and `/ManualJournals/{ManualJournalID}/Attachments/{FileName}`,$.paths['/ManualJournals/{ManualJournalID}/Attachments/{FileName}'],10792,3,10792,59
operations,error,"paths `/ManualJournals/{ManualJournalID}/Attachments/{AttachmentID}` and `/ManualJournals/{ManualJournalID}/Attachments/{FileName}` must not be equivalent, paths must be unique",$.paths['/ManualJournals/{ManualJournalID}/Attachments/{FileName}'],10792,3,10792,59
descriptions,info,operation method `GET` at path `/ManualJournals/{ManualJournalID}/Attachments/{FileName}` is missing a `description`,$.paths['/ManualJournals/{ManualJournalID}/Attachments/{FileName}'].get,10795,5,10795,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/ManualJournals/{ManualJournalID}/Attachments/{FileName}'].get.tags[0],10801,11,10801,21
