category,severity,message,path,start_line,start_column,end_line,end_column
descriptions,info,operation method `GET` at path `/BatchPayments/{BatchPaymentID}/History` is missing a `description`,$.paths['/BatchPayments/{BatchPaymentID}/History'].get,1131,5,1131,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BatchPayments/{BatchPaymentID}/History'].get.tags[0],1137,11,1137,21
operations,info,operation must define at least one 4xx error response,$.paths['/BatchPayments/{BatchPaymentID}/History'].get.responses,1142,7,1142,16
descriptions,info,operation method `PUT` at path `/BatchPayments/{BatchPaymentID}/History` is missing a `description`,$.paths['/BatchPayments/{BatchPaymentID}/History'].put,1160,5,1160,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/BatchPayments/{BatchPaymentID}/History'].put.tags[0],1165,11,1165,21
descriptions,info,operation method `GET` at path `/BankTransactions` is missing a `description`,$.paths['/BankTransactions'].get,1223,5,1223,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BankTransactions'].get.tags[0],1229,11,1229,21
operations,info,operation must define at least one 4xx error response,$.paths['/BankTransactions'].get.responses,1258,7,1258,16
descriptions,info,operation method `PUT` at path `/BankTransactions` is missing a `description`,$.paths['/BankTransactions'].put,1367,5,1367,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/BankTransactions'].put.tags[0],1372,11,1372,21
descriptions,info,operation method `POST` at path `/BankTransactions` is missing a `description`,$.paths['/BankTransactions'].post,1624,5,1624,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/BankTransactions'].post.tags[0],1629,11,1629,21
descriptions,info,operation method `POST` `requestBody` at path `/BankTransactions` is missing a `description`,$.paths['/BankTransactions'].post.requestBody,1862,7,1862,18
descriptions,info,operation method `GET` at path `/BankTransactions/{BankTransactionID}` is missing a `description`,$.paths['/BankTransactions/{BankTransactionID}'].get,1883,5,1883,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BankTransactions/{BankTransactionID}'].get.tags[0],1889,11,1889,21
operations,info,operation must define at least one 4xx error response,$.paths['/BankTransactions/{BankTransactionID}'].get.responses,1895,7,1895,16
descriptions,info,operation method `POST` at path `/BankTransactions/{BankTransactionID}` is missing a `description`,$.paths['/BankTransactions/{BankTransactionID}'].post,1994,5,1994,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/BankTransactions/{BankTransactionID}'].post.tags[0],1999,11,1999,21
descriptions,info,operation method `POST` `requestBody` at path `/BankTransactions/{BankTransactionID}` is missing a `description`,$.paths['/BankTransactions/{BankTransactionID}'].post.requestBody,2236,7,2236,18
descriptions,info,operation method `GET` at path `/BankTransactions/{BankTransactionID}/Attachments` is missing a `description`,$.paths['/BankTransactions/{BankTransactionID}/Attachments'].get,2306,5,2306,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BankTransactions/{BankTransactionID}/Attachments'].get.tags[0],2312,11,2312,21
operations,info,operation must define at least one 4xx error response,$.paths['/BankTransactions/{BankTransactionID}/Attachments'].get.responses,2317,7,2317,16
descriptions,info,operation method `GET` at path `/BankTransactions/{BankTransactionID}/Attachments/{AttachmentID}` is missing a `description`,$.paths['/BankTransactions/{BankTransactionID}/Attachments/{AttachmentID}'].get,2344,5,2344,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BankTransactions/{BankTransactionID}/Attachments/{AttachmentID}'].get.tags[0],2350,11,2350,21
operations,info,operation must define at least one 4xx error response,$.paths['/BankTransactions/{BankTransactionID}/Attachments/{AttachmentID}'].get.responses,2357,7,2357,16
operations,warn,paths are ambiguous with one another: `/BankTransactions/{BankTransactionID}/Attachments/{AttachmentID}` and `/BankTransactions/{BankTransactionID}/Attachments/{FileName}`,$.paths['/BankTransactions/{BankTransactionID}/Attachments/{FileName}'],2365,3,2365,63
operations,error,"paths `/BankTransactions/{BankTransactionID}/Attachments/{AttachmentID}` and `/BankTransactions/{BankTransactionID}/Attachments/{FileName}` must not be equivalent, paths must be unique",$.paths['/BankTransactions/{BankTransactionID}/Attachments/{FileName}'],2365,3,2365,63
descriptions,info,operation method `GET` at path `/BankTransactions/{BankTransactionID}/Attachments/{FileName}` is missing a `description`,$.paths['/BankTransactions/{BankTransactionID}/Attachments/{FileName}'].get,2368,5,2368,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BankTransactions/{BankTransactionID}/Attachments/{FileName}'].get.tags[0],2374,11,2374,21
operations,info,operation must define at least one 4xx error response,$.paths['/BankTransactions/{BankTransactionID}/Attachments/{FileName}'].get.responses,2381,7,2381,16
descriptions,info,operation method `POST` at path `/BankTransactions/{BankTransactionID}/Attachments/{FileName}` is missing a `description`,$.paths['/BankTransactions/{BankTransactionID}/Attachments/{FileName}'].post,2389,5,2389,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/BankTransactions/{BankTransactionID}/Attachments/{FileName}'].post.tags[0],2394,11,2394,21
descriptions,info,operation method `PUT` at path `/BankTransactions/{BankTransactionID}/Attachments/{FileName}` is missing a `description`,$.paths['/BankTransactions/{BankTransactionID}/Attachments/{FileName}'].put,2431,5,2431,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/BankTransactions/{BankTransactionID}/Attachments/{FileName}'].put.tags[0],2436,11,2436,21
descriptions,info,operation method `GET` at path `/BankTransactions/{BankTransactionID}/History` is missing a `description`,$.paths['/BankTransactions/{BankTransactionID}/History'].get,2476,5,2476,8
